# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "analyse/03_annotation/prokka_output/E745.gff" "-o" "analyse/07_rnaseq_counts/gene_counts.txt" "analyse/06_rnaseq_mapping/ERR1797969.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797970.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797971.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797972.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797973.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797974.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyse/06_rnaseq_mapping/ERR1797969.sorted.bam	analyse/06_rnaseq_mapping/ERR1797970.sorted.bam	analyse/06_rnaseq_mapping/ERR1797971.sorted.bam	analyse/06_rnaseq_mapping/ERR1797972.sorted.bam	analyse/06_rnaseq_mapping/ERR1797973.sorted.bam	analyse/06_rnaseq_mapping/ERR1797974.sorted.bam
OMENCOFM_00027	CP014529.1	30771	30977	+	207	0	0	0	0	5	0
OMENCOFM_00028	CP014529.1	31157	31528	+	372	0	4	0	0	0	2
OMENCOFM_00029	CP014529.1	31802	32494	-	693	18	18	18	10	14	12
OMENCOFM_00030	CP014529.1	32497	33282	-	786	7	8	7	8	9	19
OMENCOFM_00031	CP014529.1	33519	34919	+	1401	2	0	2	2	0	4
OMENCOFM_00032	CP014529.1	34944	35261	+	318	0	0	0	0	2	2
OMENCOFM_00033	CP014529.1	35274	36947	+	1674	0	2	0	0	2	2
OMENCOFM_00034	CP014529.1	36961	38592	+	1632	0	0	0	6	0	0
OMENCOFM_00035	CP014529.1	39083	40648	-	1566	438	505	468	1106	1119	1016
OMENCOFM_00036	CP014529.1	40707	41630	-	924	64	57	76	128	120	103
OMENCOFM_00037	CP014529.1	41826	42431	+	606	6	31	18	22	25	34
OMENCOFM_00038	CP014529.1	42739	43755	+	1017	14	14	15	24	15	37
OMENCOFM_00039	CP014529.1	43896	45197	+	1302	43	44	42	224	224	188
OMENCOFM_00040	CP014529.1	45243	45905	+	663	60	68	72	224	175	176
OMENCOFM_00041	CP014529.1	45926	46324	+	399	27	42	29	98	69	60
OMENCOFM_00042	CP014529.1	46390	47472	+	1083	1175	1275	1257	849	685	650
OMENCOFM_00043	CP014529.1	47684	49246	+	1563	357	425	307	420	367	312
OMENCOFM_00044	CP014529.1	49239	50372	+	1134	168	213	216	286	203	199
OMENCOFM_00045	CP014529.1	50372	51328	+	957	99	126	131	198	145	175
OMENCOFM_00046	CP014529.1	51427	52593	+	1167	131	158	141	197	193	183
OMENCOFM_00047	CP014529.1	52617	53435	+	819	171	152	134	156	167	164
OMENCOFM_00048	CP014529.1	53452	54159	+	708	201	184	124	156	130	123
OMENCOFM_00049	CP014529.1	54457	55143	-	687	330	492	446	1321	1579	1273
OMENCOFM_00050	CP014529.1	55315	55896	-	582	68	78	74	124	140	110
OMENCOFM_00051	CP014529.1	56029	56712	-	684	19	47	37	58	56	66
OMENCOFM_00052	CP014529.1	57031	57444	+	414	188	260	234	1279	1215	1257
OMENCOFM_00053	CP014529.1	57528	57998	+	471	272	271	316	1334	1264	1230
OMENCOFM_00054	CP014529.1	58092	60179	+	2088	791	907	829	3207	2918	2973
OMENCOFM_00055	CP014529.1	60351	61538	+	1188	2048	2558	2471	7661	7828	6892
OMENCOFM_00056	CP014529.1	61944	62252	+	309	26	49	44	301	278	277
OMENCOFM_00057	CP014529.1	62283	62912	+	630	231	259	285	1497	1189	1029
OMENCOFM_00058	CP014529.1	62940	63563	+	624	140	145	150	678	810	668
OMENCOFM_00059	CP014529.1	63563	63853	+	291	118	96	101	449	476	424
OMENCOFM_00060	CP014529.1	63892	64725	+	834	199	232	240	1169	1227	1131
OMENCOFM_00061	CP014529.1	64768	65046	+	279	78	95	78	703	667	627
OMENCOFM_00062	CP014529.1	65069	65416	+	348	106	134	98	722	642	648
OMENCOFM_00063	CP014529.1	65430	66086	+	657	270	282	294	1880	1679	1612
OMENCOFM_00064	CP014529.1	66089	66523	+	435	152	162	150	1079	935	808
OMENCOFM_00065	CP014529.1	66513	66701	+	189	64	73	69	323	473	431
OMENCOFM_00066	CP014529.1	66726	66992	+	267	184	225	202	1251	1479	1221
OMENCOFM_00067	CP014529.1	67050	67418	+	369	107	113	118	767	794	744
OMENCOFM_00068	CP014529.1	67455	67763	+	309	188	257	243	1601	1539	1341
OMENCOFM_00069	CP014529.1	67791	68330	+	540	91	141	126	882	850	817
OMENCOFM_00070	CP014529.1	68349	68534	+	186	73	87	107	800	726	630
OMENCOFM_00071	CP014529.1	68570	68968	+	399	118	148	110	935	953	972
OMENCOFM_00072	CP014529.1	69000	69536	+	537	145	182	185	1069	971	909
OMENCOFM_00073	CP014529.1	69697	70053	+	357	129	160	144	1089	1011	966
OMENCOFM_00074	CP014529.1	70074	70574	+	501	191	220	238	1381	1443	1205
OMENCOFM_00075	CP014529.1	70589	70768	+	180	34	65	44	343	346	353
OMENCOFM_00076	CP014529.1	70812	71252	+	441	129	179	118	1228	1111	1126
OMENCOFM_00077	CP014529.1	71252	72547	+	1296	402	456	469	3475	3124	2878
OMENCOFM_00078	CP014529.1	72609	73256	+	648	98	133	137	1044	1023	986
OMENCOFM_00079	CP014529.1	73447	73665	+	219	74	75	95	533	497	499
OMENCOFM_00080	CP014529.1	73698	73814	+	117	72	120	118	836	942	730
OMENCOFM_00081	CP014529.1	73832	74197	+	366	123	157	127	680	788	670
OMENCOFM_00082	CP014529.1	74225	74614	+	390	115	144	101	802	742	648
OMENCOFM_00083	CP014529.1	74694	75632	+	939	360	354	302	2188	1761	1735
OMENCOFM_00084	CP014529.1	75660	76040	+	381	395	420	374	2207	2168	1979
OMENCOFM_00085	CP014529.1	76312	77151	+	840	44	64	69	63	43	60
OMENCOFM_00086	CP014529.1	77127	77996	+	870	88	86	78	86	60	61
OMENCOFM_00087	CP014529.1	77986	78783	+	798	27	39	39	20	24	25
OMENCOFM_00088	CP014529.1	78986	79732	+	747	16	9	6	26	40	20
OMENCOFM_00089	CP014529.1	80691	81497	-	807	10	16	8	40	25	14
OMENCOFM_00090	CP014529.1	81620	81988	+	369	1	4	0	3	1	6
OMENCOFM_00091	CP014529.1	82085	83257	+	1173	16	10	18	12	15	13
OMENCOFM_00092	CP014529.1	83676	84854	+	1179	2	11	14	0	5	0
OMENCOFM_00093	CP014529.1	85086	85424	-	339	11	21	8	1	4	0
OMENCOFM_00094	CP014529.1	85421	85969	-	549	18	23	32	0	2	4
OMENCOFM_00095	CP014529.1	86072	86731	+	660	0	0	0	2	4	4
OMENCOFM_00096	CP014529.1	86800	87708	+	909	4	0	1	6	10	10
OMENCOFM_00097	CP014529.1	87831	90500	-	2670	93	104	82	94	83	88
OMENCOFM_00098	CP014529.1	90738	90926	-	189	92	83	81	94	156	146
OMENCOFM_00099	CP014529.1	91196	91558	+	363	53	52	35	55	56	51
OMENCOFM_00100	CP014529.1	91610	93292	+	1683	596	771	714	876	858	795
OMENCOFM_00101	CP014529.1	93409	95445	+	2037	94	135	119	150	133	133
OMENCOFM_00102	CP014529.1	95494	96495	+	1002	119	163	174	290	249	173
OMENCOFM_00103	CP014529.1	96617	96859	+	243	73	84	88	208	194	175
OMENCOFM_00104	CP014529.1	97238	98425	-	1188	23	33	25	10	13	23
OMENCOFM_00105	CP014529.1	98747	99751	+	1005	123	148	107	39	46	44
OMENCOFM_00106	CP014529.1	99752	100696	+	945	151	132	141	80	78	78
OMENCOFM_00107	CP014529.1	100696	101658	+	963	54	80	66	40	39	33
OMENCOFM_00108	CP014529.1	101685	102599	+	915	51	79	76	40	39	42
OMENCOFM_00109	CP014529.1	102625	104406	+	1782	860	1104	1026	272	278	270
OMENCOFM_00110	CP014529.1	104754	105440	+	687	30	49	32	69	57	58
OMENCOFM_00111	CP014529.1	105460	109041	+	3582	320	327	334	342	304	302
OMENCOFM_00112	CP014529.1	109050	109859	+	810	28	28	43	48	63	33
OMENCOFM_00113	CP014529.1	109871	110869	+	999	74	78	70	106	99	87
OMENCOFM_00114	CP014529.1	111055	113322	+	2268	124	135	100	154	165	119
OMENCOFM_00115	CP014529.1	113410	113862	-	453	22	48	45	10	12	10
OMENCOFM_00116	CP014529.1	114012	114962	+	951	107	106	103	4	6	0
OMENCOFM_00117	CP014529.1	114955	115914	+	960	176	191	219	6	6	4
OMENCOFM_00118	CP014529.1	115911	116666	+	756	109	136	156	4	6	4
OMENCOFM_00119	CP014529.1	116689	117642	+	954	361	431	412	3	10	6
OMENCOFM_00120	CP014529.1	117779	117886	-	108	0	0	0	0	1	2
OMENCOFM_00121	CP014529.1	118308	119261	-	954	14	17	16	8	20	2
OMENCOFM_00122	CP014529.1	119340	119528	-	189	0	0	0	2	0	2
OMENCOFM_00123	CP014529.1	119730	120902	+	1173	13	10	15	7	15	10
OMENCOFM_00124	CP014529.1	121216	121572	+	357	84	97	85	47	78	54
OMENCOFM_00125	CP014529.1	121582	122481	+	900	65	82	73	34	36	26
OMENCOFM_00126	CP014529.1	122711	123607	-	897	4	3	2	4	12	6
OMENCOFM_00127	CP014529.1	124035	124763	+	729	0	0	0	4	0	2
OMENCOFM_00128	CP014529.1	124908	126587	+	1680	0	2	2	0	2	8
OMENCOFM_00129	CP014529.1	126672	127631	+	960	2	10	4	2	4	6
OMENCOFM_00130	CP014529.1	127699	128433	-	735	61	70	61	369	348	322
OMENCOFM_00131	CP014529.1	128759	129169	+	411	6	4	4	10	8	2
OMENCOFM_00132	CP014529.1	129162	129863	+	702	8	9	6	10	16	8
OMENCOFM_00133	CP014529.1	129863	131446	+	1584	28	36	24	46	59	36
OMENCOFM_00134	CP014529.1	131465	131686	+	222	3	3	0	6	7	3
OMENCOFM_00135	CP014529.1	131683	132444	+	762	15	31	35	63	33	35
OMENCOFM_00136	CP014529.1	132824	133333	+	510	41	39	59	19	24	24
OMENCOFM_00137	CP014529.1	133408	133947	-	540	515	597	555	20	10	8
OMENCOFM_00138	CP014529.1	134087	134698	-	612	146	191	136	870	1035	1001
OMENCOFM_00139	CP014529.1	134978	135811	+	834	6	4	12	26	12	17
OMENCOFM_00140	CP014529.1	135839	136474	+	636	11	20	14	42	36	25
OMENCOFM_00141	CP014529.1	136494	137267	+	774	16	16	25	44	59	36
OMENCOFM_00142	CP014529.1	137675	138472	+	798	10	12	12	30	19	29
OMENCOFM_00143	CP014529.1	138489	138863	+	375	2	12	18	5	7	15
OMENCOFM_00144	CP014529.1	138847	141492	+	2646	77	77	72	153	194	159
OMENCOFM_00145	CP014529.1	141510	143618	+	2109	86	79	77	120	124	122
OMENCOFM_00146	CP014529.1	143640	144200	+	561	12	20	31	66	70	28
OMENCOFM_00147	CP014529.1	144285	146273	-	1989	10	8	12	50	72	70
OMENCOFM_00148	CP014529.1	146496	147209	+	714	4	15	12	38	33	36
OMENCOFM_00149	CP014529.1	147286	147732	+	447	48	52	52	16	18	31
OMENCOFM_00150	CP014529.1	147902	148504	+	603	39	47	34	71	69	49
OMENCOFM_00151	CP014529.1	148517	149518	+	1002	72	72	87	140	104	120
OMENCOFM_00152	CP014529.1	149547	150125	+	579	30	51	29	40	39	32
OMENCOFM_00153	CP014529.1	150177	150659	+	483	70	111	85	97	135	85
OMENCOFM_00154	CP014529.1	150776	151150	+	375	232	289	302	132	126	80
OMENCOFM_00155	CP014529.1	151534	152487	-	954	14	10	2	9	12	6
OMENCOFM_00156	CP014529.1	152830	154182	-	1353	271	295	250	52	55	59
OMENCOFM_00157	CP014529.1	154329	154919	+	591	37	36	43	18	13	24
OMENCOFM_00158	CP014529.1	155047	156396	-	1350	32	25	43	22	28	26
OMENCOFM_00159	CP014529.1	156564	157304	-	741	140	135	138	85	89	73
OMENCOFM_00160	CP014529.1	157317	158909	-	1593	174	170	166	179	163	146
OMENCOFM_00161	CP014529.1	158948	159139	-	192	51	44	44	29	35	32
OMENCOFM_00162	CP014529.1	159477	159773	-	297	18	11	8	16	18	20
OMENCOFM_00163	CP014529.1	159949	160674	+	726	10	19	10	22	26	24
OMENCOFM_00164	CP014529.1	160667	161509	+	843	23	32	40	42	44	33
OMENCOFM_00165	CP014529.1	161512	162033	+	522	51	66	53	31	38	30
OMENCOFM_00166	CP014529.1	162276	162839	-	564	14	14	10	26	54	24
OMENCOFM_00167	CP014529.1	163090	163359	+	270	191	236	243	604	559	391
OMENCOFM_00168	CP014529.1	163547	165673	+	2127	480	529	488	468	454	396
OMENCOFM_00169	CP014529.1	166183	166449	+	267	4	4	2	0	2	4
OMENCOFM_00170	CP014529.1	166593	168584	+	1992	124	161	146	149	111	129
OMENCOFM_00171	CP014529.1	168938	170239	+	1302	16	12	23	18	20	22
OMENCOFM_00172	CP014529.1	170369	171739	-	1371	92	116	90	57	64	54
OMENCOFM_00173	CP014529.1	171921	172244	-	324	52	63	63	10	28	12
OMENCOFM_00174	CP014529.1	172570	173178	-	609	161	193	189	30	44	41
OMENCOFM_00175	CP014529.1	173508	174224	+	717	47	56	46	47	66	39
OMENCOFM_00176	CP014529.1	174237	174932	+	696	22	19	20	22	23	16
OMENCOFM_00177	CP014529.1	175016	175645	+	630	46	48	41	105	107	110
OMENCOFM_00178	CP014529.1	176159	176695	+	537	2	4	4	0	0	0
OMENCOFM_00179	CP014529.1	176692	177498	+	807	0	0	2	0	4	3
OMENCOFM_00180	CP014529.1	177567	178169	+	603	4	2	2	12	8	14
OMENCOFM_00181	CP014529.1	178191	178679	+	489	9	18	8	26	16	16
OMENCOFM_00182	CP014529.1	179003	180376	+	1374	10	14	4	18	36	30
OMENCOFM_00183	CP014529.1	180360	180827	+	468	7	10	9	16	14	9
OMENCOFM_00184	CP014529.1	181076	182821	-	1746	34	35	29	12	16	8
OMENCOFM_00185	CP014529.1	183017	184093	+	1077	40	64	68	188	178	138
OMENCOFM_00186	CP014529.1	184186	185598	+	1413	30	48	45	128	123	102
OMENCOFM_00187	CP014529.1	185920	187431	+	1512	98	152	128	610	647	532
OMENCOFM_00188	CP014529.1	187561	187911	+	351	13	5	16	9	8	10
OMENCOFM_00189	CP014529.1	187927	189048	+	1122	94	65	62	64	40	57
OMENCOFM_00190	CP014529.1	189059	189421	+	363	21	24	20	12	8	9
OMENCOFM_00191	CP014529.1	189597	189866	-	270	12	16	6	6	0	0
OMENCOFM_00192	CP014529.1	190056	191003	+	948	62	66	62	14	36	10
OMENCOFM_00193	CP014529.1	191309	194014	+	2706	117	140	104	173	176	137
OMENCOFM_00194	CP014529.1	194610	196433	+	1824	20	22	24	136	112	70
OMENCOFM_00195	CP014529.1	197235	197498	+	264	16	15	13	10	10	8
OMENCOFM_00196	CP014529.1	197498	197764	+	267	36	28	28	26	26	12
OMENCOFM_00197	CP014529.1	197965	198453	+	489	0	0	0	0	0	2
OMENCOFM_00198	CP014529.1	198652	198750	+	99	3	0	0	0	2	1
OMENCOFM_00199	CP014529.1	198995	199666	-	672	4	3	0	2	6	6
OMENCOFM_00200	CP014529.1	199663	200580	-	918	16	15	9	7	13	4
OMENCOFM_00201	CP014529.1	200577	201218	-	642	4	3	0	5	2	0
OMENCOFM_00202	CP014529.1	201222	202397	-	1176	30	26	42	14	10	16
OMENCOFM_00203	CP014529.1	202590	203621	+	1032	99	130	117	224	291	202
OMENCOFM_00204	CP014529.1	204240	204548	+	309	10	0	2	0	4	8
OMENCOFM_00205	CP014529.1	204588	206879	+	2292	69	86	85	47	91	89
OMENCOFM_00206	CP014529.1	207047	207745	-	699	302	274	332	149	172	154
OMENCOFM_00207	CP014529.1	207962	209107	+	1146	10	8	16	34	37	41
OMENCOFM_00208	CP014529.1	209204	209584	+	381	170	199	201	255	244	269
OMENCOFM_00209	CP014529.1	209924	211243	-	1320	7	12	12	4	3	5
OMENCOFM_00210	CP014529.1	211572	214169	+	2598	1742	2180	2124	56	70	64
OMENCOFM_00211	CP014529.1	214523	215476	+	954	11	8	16	9	5	2
OMENCOFM_00212	CP014529.1	215400	215588	-	189	11	17	24	16	31	21
OMENCOFM_00213	CP014529.1	215741	217201	+	1461	0	2	2	0	8	0
OMENCOFM_00214	CP014529.1	217198	218454	+	1257	2	2	2	0	0	0
OMENCOFM_00215	CP014529.1	218468	219313	+	846	0	2	0	0	2	0
OMENCOFM_00216	CP014529.1	219315	219626	+	312	0	0	2	0	0	0
OMENCOFM_00217	CP014529.1	219708	220859	+	1152	0	2	0	0	0	0
OMENCOFM_00218	CP014529.1	220986	221744	+	759	2	16	2	7	4	8
OMENCOFM_00219	CP014529.1	221844	222488	+	645	26	30	31	12	6	13
OMENCOFM_00220	CP014529.1	222495	223502	+	1008	8	30	28	21	8	12
OMENCOFM_00221	CP014529.1	223518	224360	+	843	18	12	12	12	13	4
OMENCOFM_00222	CP014529.1	224377	224511	+	135	0	0	0	2	0	0
OMENCOFM_00223	CP014529.1	224508	225182	+	675	6	10	4	15	16	12
OMENCOFM_00224	CP014529.1	225431	226495	-	1065	24	48	68	91	112	98
OMENCOFM_00225	CP014529.1	226492	227577	-	1086	22	37	16	63	70	75
OMENCOFM_00226	CP014529.1	227590	228567	-	978	8	6	14	33	41	33
OMENCOFM_00227	CP014529.1	228560	229504	-	945	2	11	7	48	65	51
OMENCOFM_00228	CP014529.1	229826	230479	+	654	14	12	6	55	52	30
OMENCOFM_00229	CP014529.1	230564	231469	+	906	7	6	14	18	24	16
OMENCOFM_00230	CP014529.1	231471	232103	-	633	4	7	9	10	10	8
OMENCOFM_00231	CP014529.1	232423	232947	+	525	343	361	367	1217	1151	1059
OMENCOFM_00232	CP014529.1	233019	233219	+	201	58	51	67	327	278	234
OMENCOFM_00233	CP014529.1	233272	233631	+	360	70	78	112	443	491	420
OMENCOFM_00234	CP014529.1	233883	235220	+	1338	0	0	0	2	0	0
OMENCOFM_00235	CP014529.1	235268	237397	+	2130	4	1	5	6	0	2
OMENCOFM_00236	CP014529.1	237372	238061	+	690	0	0	0	0	0	2
OMENCOFM_00237	CP014529.1	238372	239058	-	687	4	14	8	4	8	8
OMENCOFM_00238	CP014529.1	239194	239361	-	168	26	25	34	0	2	2
OMENCOFM_00239	CP014529.1	239438	239878	-	441	21	12	12	8	6	6
OMENCOFM_00240	CP014529.1	239882	240727	-	846	18	25	16	22	10	6
OMENCOFM_00241	CP014529.1	240876	242294	+	1419	414	512	404	368	309	256
OMENCOFM_00242	CP014529.1	242351	242641	-	291	4	0	0	0	0	0
OMENCOFM_00243	CP014529.1	242764	243081	+	318	2	0	2	0	2	0
OMENCOFM_00244	CP014529.1	243157	244113	-	957	48	73	44	82	70	111
OMENCOFM_00245	CP014529.1	244285	244638	-	354	8	10	8	10	14	7
OMENCOFM_00246	CP014529.1	244837	245916	+	1080	157	164	144	78	80	77
OMENCOFM_00247	CP014529.1	246208	246528	+	321	66	87	70	36	30	30
OMENCOFM_00248	CP014529.1	246558	247025	+	468	154	153	145	46	71	48
OMENCOFM_00249	CP014529.1	247335	247940	+	606	60	54	45	183	178	160
OMENCOFM_00250	CP014529.1	247998	249281	-	1284	127	138	126	151	122	122
OMENCOFM_00251	CP014529.1	249734	250213	+	480	0	5	12	2	11	14
OMENCOFM_00252	CP014529.1	250588	251424	-	837	2	1	5	1	4	4
OMENCOFM_00253	CP014529.1	251460	251750	-	291	2	1	3	0	2	0
OMENCOFM_00254	CP014529.1	251961	253091	+	1131	16	26	15	22	16	24
OMENCOFM_00255	CP014529.1	253259	254167	+	909	5	14	2	6	10	6
OMENCOFM_00256	CP014529.1	254254	255108	+	855	33	38	22	40	59	38
OMENCOFM_00257	CP014529.1	255205	257454	+	2250	2	6	6	6	12	2
OMENCOFM_00258	CP014529.1	257457	258629	+	1173	0	4	8	2	7	2
OMENCOFM_00259	CP014529.1	258807	260126	+	1320	9	20	11	6	11	8
OMENCOFM_00260	CP014529.1	260531	260890	+	360	2	0	0	6	0	2
OMENCOFM_00261	CP014529.1	260869	261708	+	840	4	3	0	3	2	4
OMENCOFM_00262	CP014529.1	261897	262205	+	309	0	0	0	0	0	0
OMENCOFM_00263	CP014529.1	262232	262531	+	300	0	0	0	0	0	0
OMENCOFM_00264	CP014529.1	262705	263256	+	552	0	0	0	0	0	0
OMENCOFM_00265	CP014529.1	263563	264882	-	1320	8	18	12	4	11	13
OMENCOFM_00266	CP014529.1	265086	265379	+	294	2	0	0	0	0	0
OMENCOFM_00267	CP014529.1	265372	265668	+	297	4	3	4	3	4	2
OMENCOFM_00268	CP014529.1	265743	266633	+	891	32	41	14	24	28	24
OMENCOFM_00269	CP014529.1	267253	268302	+	1050	20	18	26	38	44	22
OMENCOFM_00270	CP014529.1	268450	270096	+	1647	0	2	2	2	0	2
OMENCOFM_00271	CP014529.1	270275	270514	+	240	0	0	0	0	1	0
OMENCOFM_00272	CP014529.1	270530	271903	+	1374	0	4	0	4	6	0
OMENCOFM_00273	CP014529.1	271907	273544	+	1638	6	8	7	4	6	4
OMENCOFM_00274	CP014529.1	273787	274875	+	1089	39	48	40	53	38	54
OMENCOFM_00275	CP014529.1	275124	276077	+	954	59	59	49	22	20	32
OMENCOFM_00276	CP014529.1	276113	276370	+	258	5	8	2	6	8	8
OMENCOFM_00277	CP014529.1	276603	277007	+	405	1	8	5	16	10	5
OMENCOFM_00278	CP014529.1	277026	279683	+	2658	88	86	90	78	122	93
OMENCOFM_00279	CP014529.1	279755	280231	+	477	2	0	2	0	4	0
OMENCOFM_00280	CP014529.1	280245	281033	+	789	0	0	0	0	2	0
OMENCOFM_00281	CP014529.1	281035	281832	+	798	2	0	2	2	2	0
OMENCOFM_00282	CP014529.1	281851	282246	+	396	6	0	6	4	2	4
OMENCOFM_00283	CP014529.1	282248	283369	+	1122	4	2	8	6	4	0
OMENCOFM_00284	CP014529.1	283389	284258	+	870	4	6	4	6	4	7
OMENCOFM_00285	CP014529.1	284577	284738	+	162	0	1	1	0	0	0
OMENCOFM_00286	CP014529.1	284821	285774	+	954	8	8	8	2	8	8
OMENCOFM_00287	CP014529.1	285870	286382	+	513	8	13	8	11	5	12
OMENCOFM_00288	CP014529.1	286421	286813	+	393	12	5	16	7	6	6
OMENCOFM_00289	CP014529.1	286916	287917	-	1002	0	0	13	14	5	4
OMENCOFM_00290	CP014529.1	288151	289392	+	1242	36	54	46	24	30	35
OMENCOFM_00291	CP014529.1	289539	290174	+	636	8	8	13	10	6	10
OMENCOFM_00292	CP014529.1	290396	292030	+	1635	4	0	0	4	2	4
OMENCOFM_00293	CP014529.1	292027	292458	+	432	0	0	0	2	2	1
OMENCOFM_00294	CP014529.1	292471	292719	+	249	0	2	0	0	1	0
OMENCOFM_00295	CP014529.1	292643	293596	-	954	4	4	2	2	0	2
OMENCOFM_00296	CP014529.1	293789	294241	+	453	4	2	4	10	10	9
OMENCOFM_00297	CP014529.1	294254	294775	+	522	1	4	0	10	21	14
OMENCOFM_00298	CP014529.1	294793	295503	+	711	16	10	11	39	36	33
OMENCOFM_00299	CP014529.1	295703	296071	+	369	0	0	2	0	0	2
OMENCOFM_00300	CP014529.1	296091	296315	+	225	2	4	5	2	0	0
OMENCOFM_00301	CP014529.1	296456	298009	+	1554	18	8	8	24	38	28
OMENCOFM_00302	CP014529.1	298305	299618	+	1314	10	6	20	82	97	78
OMENCOFM_00303	CP014529.1	299945	301582	+	1638	6	4	12	8	4	4
OMENCOFM_00304	CP014529.1	301670	302164	+	495	0	8	4	12	20	12
OMENCOFM_00305	CP014529.1	302265	303356	+	1092	40	28	27	11	8	5
OMENCOFM_00306	CP014529.1	303386	304063	+	678	34	34	35	30	22	22
OMENCOFM_00307	CP014529.1	304406	305701	+	1296	29	30	30	10	14	4
OMENCOFM_00308	CP014529.1	305691	307151	+	1461	26	17	23	10	2	10
OMENCOFM_00309	CP014529.1	307287	308783	+	1497	1	5	2	4	2	2
OMENCOFM_00310	CP014529.1	308797	310620	+	1824	2	2	2	0	4	0
OMENCOFM_00311	CP014529.1	310621	311337	+	717	0	0	2	0	0	0
OMENCOFM_00312	CP014529.1	311643	313571	+	1929	18	12	19	47	63	40
OMENCOFM_00313	CP014529.1	313697	314251	+	555	12	14	14	24	20	11
OMENCOFM_00314	CP014529.1	314859	315173	-	315	0	0	2	2	0	2
OMENCOFM_00315	CP014529.1	315187	315447	-	261	6	2	6	4	4	6
OMENCOFM_00316	CP014529.1	315617	315931	+	315	0	0	0	4	0	0
OMENCOFM_00317	CP014529.1	315933	317588	+	1656	6	6	5	4	8	7
OMENCOFM_00318	CP014529.1	317671	319521	+	1851	38	65	53	24	32	34
OMENCOFM_00319	CP014529.1	319518	319805	+	288	31	24	15	15	5	13
OMENCOFM_00320	CP014529.1	319980	320327	+	348	10	3	8	6	4	8
